city,area_sqft,bedrooms,bathrooms,price
Delhi,2314,5,4,17381334
Bangalore,1787,4,4,20048700
Gurgaon,4219,5,2,45196280
Surat,1993,6,2,25200027
Bangalore,904,2,1,9081760
Nagpur,2273,6,2,22088654
Chandigarh,1387,4,3,14069674
Nagpur,4292,5,2,38866116
Jaipur,2634,6,1,21885780
Hyderabad,2624,3,3,24816864
Pune,689,3,5,7147044
Pune,4657,4,1,54870921
Visakhapatnam,1431,1,4,16454219
Nagpur,2093,4,3,24577191
Nagpur,2225,2,3,19109275
Visakhapatnam,2071,4,2,25853778
Hyderabad,3826,3,4,40770064
Visakhapatnam,3276,6,1,30118728
Bangalore,2834,1,3,19034360
Lucknow,3481,3,4,28324586
Gurgaon,1899,5,3,20751289
Jaipur,3116,5,5,26125512
Noida,953,1,3,10185339
Chandigarh,1044,4,2,10029404
Mumbai,1969,2,2,22950412
Jaipur,4573,6,2,43978653
Bhopal,2098,5,3,22118398
Lucknow,3505,5,4,28885640
Surat,869,3,3,11651658
Delhi,2178,2,3,23862466
Visakhapatnam,3889,6,1,38596017
Bangalore,1335,2,3,12721300
Noida,2951,5,3,22540241
Nagpur,4741,6,4,46057762
Noida,962,3,5,9479790
Kolkata,2290,5,5,27007580
Coimbatore,1043,4,1,12456075
Bhopal,3121,3,3,23680947
Lucknow,4306,6,3,53509380
Bhopal,3068,6,1,30538368
Indore,2493,1,4,19416884
Nagpur,3188,5,2,23349520
Kolkata,3950,1,3,29923550
Jaipur,1472,6,4,13230400
Noida,3771,5,1,36933001
Pune,2583,2,5,18479161
Mumbai,818,6,5,8082234
Hyderabad,1775,1,5,17548875
Nagpur,1032,5,4,11850952
Lucknow,3259,4,1,33436314
Visakhapatnam,4027,1,3,28978944
Coimbatore,3479,3,1,38916645
Delhi,4744,3,5,47312808
Patna,4058,6,5,35764292
Lucknow,1264,2,2,10182960
Jaipur,3863,1,1,36394996
Kolkata,972,6,2,14341296
Mumbai,3341,4,3,31023267
Coimbatore,4465,6,2,50087890
Noida,3868,3,3,47092116
Visakhapatnam,1843,3,2,16701064
Delhi,1943,4,2,24259008
Indore,1005,3,4,10205310
Delhi,693,5,4,8002420
Nagpur,1865,4,1,19126295
Surat,2805,2,5,32385145
Chandigarh,1226,4,4,14197474
Bhopal,3216,5,3,23146720
Chennai,788,1,3,6316228
Bangalore,3051,3,3,36635316
Mumbai,3084,5,5,32350036
Visakhapatnam,1479,4,4,11042606
Mumbai,1079,4,1,10518705
Nagpur,4059,2,1,40421008
Jaipur,1138,5,1,12595198
Chennai,1671,1,1,10831793
Indore,1744,2,4,11966272
Chennai,790,3,3,6680820
Delhi,2153,1,5,18895232
Indore,4626,4,1,55199000
Ahmedabad,3807,1,4,33381059
Jaipur,720,2,3,8557840
Chennai,2769,5,3,25205800
Mumbai,1124,1,4,10211360
Nagpur,4325,5,2,52566200
Bangalore,3485,4,1,24903420
Nagpur,4035,3,1,36487485
Chandigarh,4025,1,2,41293375
Chandigarh,4518,3,2,34106406
Chennai,3195,4,5,40068425
Lucknow,1444,2,3,16615416
Noida,1226,1,1,8321880
Chennai,1613,3,4,20368874
Bhopal,4692,3,1,54120780
Chandigarh,1955,5,5,19305180
Kolkata,2732,3,3,25607168
Chennai,1386,4,1,13344410
Coimbatore,1339,5,5,12217123
Visakhapatnam,2943,3,3,21638949
Surat,3541,2,5,27529172
Kolkata,726,3,1,9916518
Hyderabad,4346,2,1,43473458
Jaipur,1673,2,5,14790539
Chennai,2879,5,3,30498275
Surat,1861,4,2,22958582
Hyderabad,840,4,4,11893520
Patna,1604,6,3,19833980
Bangalore,600,6,1,9549000
Kolkata,1626,1,4,17571374
Ahmedabad,2766,3,1,34163694
Ahmedabad,3407,3,4,33573498
Bangalore,4557,5,4,31336696
Hyderabad,2017,2,2,24998266
Chandigarh,1553,3,1,16640197
Coimbatore,3734,3,1,39247006
Noida,2250,4,5,28435250
Pune,4081,1,2,25638960
Indore,2497,2,1,24534225
Chennai,861,1,4,6832655
Delhi,1634,6,2,14006624
Gurgaon,3749,1,1,35789337
Bangalore,2202,2,2,19712596
Bangalore,533,2,1,4896763
Indore,4399,6,4,34580421
Bangalore,2117,4,4,25854356
Patna,2491,5,3,25051023
Noida,2359,3,4,24651226
Gurgaon,4748,2,1,30902904
Noida,1545,5,3,13262470
Bhopal,2623,6,1,34140256
Lucknow,1807,3,3,12922047
Nagpur,2782,3,1,31178376
Indore,2633,1,2,18962596
Ahmedabad,2648,4,1,31527848
Delhi,1602,3,1,18708684
Visakhapatnam,2922,5,5,20148880
Jaipur,4813,2,2,57990733
Gurgaon,4795,3,5,58287185
Coimbatore,2463,6,2,24063576
Pune,4183,4,5,35049883
Lucknow,3477,2,2,38826283
Noida,3322,1,5,39354112
Patna,1328,1,1,8757504
Patna,4297,1,4,48549054
Patna,2738,2,5,21474764
Bangalore,3798,6,1,31010250
Hyderabad,3900,2,5,27395200
Gurgaon,657,3,4,9250629
Coimbatore,4647,2,4,49719148
Hyderabad,1325,3,3,11573975
Bangalore,1853,3,3,13281374
Hyderabad,2961,3,2,36238452
Noida,2036,1,3,18942088
Ahmedabad,3229,5,3,40492414
Chandigarh,4488,4,1,30099368
Pune,2309,3,3,17614511
Bangalore,3551,2,4,34219605
Bangalore,2246,6,2,21983192
Bhopal,2783,5,3,30636130
Chennai,2739,5,2,28676623
Pune,4779,4,1,43720670
Delhi,2914,5,4,26030550
Indore,1754,6,4,20704876
Nagpur,2865,1,5,23245235
Indore,2401,6,2,23989542
Bhopal,1973,1,1,20393759
Bhopal,729,5,5,9569842
Ahmedabad,2166,4,2,18180020
Visakhapatnam,3741,1,1,32036630
Chandigarh,2959,6,3,28849824
Kolkata,953,4,5,8681483
Pune,1470,1,1,17088950
Bangalore,1608,1,2,15869264
Gurgaon,2616,4,1,22258304
Ahmedabad,4193,3,3,31635091
Hyderabad,2652,4,1,20126420
Bangalore,4244,6,1,34723900
Hyderabad,2598,2,4,27720430
Visakhapatnam,4863,1,3,52529237
Delhi,4292,6,4,35619200
Visakhapatnam,3345,6,4,28248060
Chandigarh,2780,6,4,30869500
Mumbai,1459,2,5,13114077
Jaipur,4313,6,2,46625995
